"H (A_per_meter)" 	"B (tesla)"
0 	0
19.43 	0.1193
38.869999999999997 	0.47360000000000002
58.299999999999997 	0.70779999999999998
77.730000000000004 	0.86629999999999996
97.159999999999997 	0.97219999999999995
116.59999999999999 	1.0429999999999999
136 	1.0740000000000001
155.5 	1.0980000000000001
174.90000000000001 	1.1180000000000001
194.30000000000001 	1.1379999999999999
213.80000000000001 	1.1559999999999999
233.19999999999999 	1.1719999999999999
252.59999999999999 	1.1850000000000001
272.10000000000002 	1.1930000000000001
318.89999999999998 	1.2050000000000001
750.79999999999995 	1.284
1183 	1.3460000000000001
1614 	1.3779999999999999
2046 	1.4019999999999999
2478 	1.423
2910 	1.4419999999999999
3083 	1.4490000000000001
7543 	1.5860000000000001
12000 	1.6799999999999999
16460 	1.75
20920 	1.7989999999999999
22510 	1.8089999999999999
25120 	1.8260000000000001
27730 	1.8420000000000001
30350 	1.855
32960 	1.861
36310 	1.867
75740 	1.925
115200 	1.978
154600 	2.028
194000 	2.0775100000000002
233500 	2.1271499999999999
272900 	2.177
312300 	2.2265100000000002
351800 	2.2761499999999999
391200 	2.3256700000000001
